frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
64,32,baseline,1000,0,0.52459013,16.7839,0.4621,0.0399,0.00684,4.18008,10.48328,0,0.0126,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0331,0.3637,214896,0,0,0
65,32,preskin,1000,0,0.52459013,13.8475,0.4436,0.4323,0.05632,3.8592,8.04384,0.4069,0.016300000000000002,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1296,107448
66,33,preskin,1000,0,0.5409836,12.3235,0.423,0.3759,0.04636,3.41932,7.1418,0.3575,0.0108,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1154,107448
67,33,baseline,1000,0,0.5409836,15.8144,0.4149,0.0371,0.00588,3.85468,10.56252,0,0.0145,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.028,0.2885,214896,0,0,0
68,34,baseline,1000,0,0.55737704,18.9725,0.4484,0.0561,0.00716,5.79384,11.6016,0,0.0196,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0434,0.4683,214896,0,0,0
69,34,preskin,1000,0,0.55737704,15.6029,0.474,0.4112,0.05588,4.55484,9.08312,0.3908,0.0124,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1292,107448
70,35,preskin,1000,0,0.57377046,13.7781,0.4487,0.4252,0.04464,3.52164,8.34296,0.3975,0.0188,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1273,107448
71,35,baseline,1000,0,0.57377046,16.2438,0.343,0.0373,0.006,4.13148,10.69652,0,0.0131,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0471,0.3686,214896,0,0,0
72,36,baseline,1000,0,0.59016395,17.3819,0.3565,0.0423,0.0072,4.87696,11.20536,0,0.0174,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0354,0.3619,214896,0,0,0
73,36,preskin,1000,0,0.59016395,12.7815,0.3422,0.424,0.0566,3.83756,7.24904,0.4055,0.0109,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1327,107448
