frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
40,20,baseline,5000,1,0.32786885,72.9153,1.6282,0.0907,0.00964,20.93376,48.46044,0,0.0431,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0653,0.4815,214896,0,0,0
41,20,preskin,5000,1,0.32786885,56.7826,1.9619,0.614,0.06116,15.8538,36.4322,0.5517,0.0295,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.2233,107448
42,21,preskin,5000,1,0.3442623,57.7727,1.72,0.5335,0.0592,15.77168,37.54328,0.4794,0.0248,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1628,107448
43,21,baseline,5000,1,0.3442623,75.2914,1.6946,0.0911,0.00804,23.48144,48.33688,0,0.033,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0646,0.4089,214896,0,0,0
44,22,baseline,5000,1,0.36065573,72.9154,1.8744,0.0853,0.00984,21.73448,46.85652,0,0.027299999999999998,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0755,0.4817,214896,0,0,0
45,22,preskin,5000,1,0.36065573,53.169,2.148,0.5044,0.05972,15.5028,33.34524,0.447,0.026299999999999997,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1543,107448
46,23,preskin,5000,1,0.37704918,55.2689,1.725,0.4776,0.05852,16.31148,34.95968,0.4218,0.0268,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1482,107448
47,23,baseline,5000,1,0.37704918,70.9774,1.4752,0.0719,0.00696,21.31848,46.4064,0,0.0278,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0426,0.3386,214896,0,0,0
48,24,baseline,5000,1,0.39344263,70.6043,1.7317,0.0786,0.00736,21.27756,45.6906,0,0.0296,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.056,0.4175,214896,0,0,0
49,24,preskin,5000,1,0.39344263,51.6645,2.2915,0.4956,0.05908,15.28288,31.8294,0.4434,0.027500000000000004,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1465,107448
50,25,preskin,5000,1,0.40983605,52.4768,1.5246,0.4661,0.09204,15.13436,33.52048,0.4002,0.038900000000000004,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1366,107448
51,25,baseline,5000,1,0.40983605,73.1708,1.5069,0.0841,0.0068,20.90048,48.49524,0,0.0403,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0466,0.3793,214896,0,0,0
52,26,baseline,5000,1,0.4262295,82.8856,2.6308,0.1335,0.00992,29.34964,48.56756,0,0.0715,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0604,0.5689,214896,0,0,0
53,26,preskin,5000,1,0.4262295,61.2125,2.5727,0.7525,0.0602,21.1246,34.61464,0.6498,0.0572,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.2399,107448
54,27,preskin,5000,1,0.44262296,51.9317,1.6785,0.4803,0.06156,15.99912,32.03984,0.4211,0.028900000000000002,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1631,107448
55,27,baseline,5000,1,0.44262296,72.0355,1.5479,0.0826,0.0096,21.5732,46.91336,0,0.0373,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0524,0.3931,214896,0,0,0
56,28,baseline,5000,1,0.45901638,69.6638,1.6569,0.1224,0.00964,20.08052,45.98744,0,0.08120000000000001,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0439,0.4007,214896,0,0,0
57,28,preskin,5000,1,0.45901638,51.3351,1.6921,0.4989,0.04052,14.90892,32.40424,0.4457,0.0265,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1605,107448
58,29,preskin,5000,1,0.47540984,51.7936,1.5246,0.4322,0.06152,15.38972,32.73772,0.3797,0.0263,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1397,107448
59,29,baseline,5000,1,0.47540984,72.8891,1.4847,0.065,0.00716,22.42912,47.20108,0,0.021500000000000002,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0388,0.3444,214896,0,0,0
60,30,baseline,5000,1,0.4918033,69.6631,1.6135,0.0677,0.00708,20.53916,45.6882,0,0.0226,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0432,0.3982,214896,0,0,0
61,30,preskin,5000,1,0.4918033,53.8763,1.8016,0.4721,0.0586,15.53492,34.1944,0.4291,0.0194,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1646,107448
62,31,preskin,5000,1,0.5081967,50.1493,1.6048,0.4579,0.06068,15.55804,30.81396,0.4015,0.029400000000000003,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.145,107448
63,31,baseline,5000,1,0.5081967,75.0095,1.9027,0.0726,0.00792,23.53308,47.57816,0,0.026099999999999998,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0463,0.3761,214896,0,0,0
64,32,baseline,5000,0,0.52459013,68.8946,1.5038,0.0748,0.01008,21.78056,43.4498,0,0.025,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0573,0.4336,214896,0,0,0
65,32,preskin,5000,0,0.52459013,54.5518,1.6381,0.4817,0.05888,15.42744,35.06328,0.4335,0.0236,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1701,107448
66,33,preskin,5000,0,0.5409836,58.1398,1.5782,0.5011,0.06164,15.88264,38.30716,0.4373,0.0337,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1541,107448
67,33,baseline,5000,0,0.5409836,77.9251,1.7021,0.1021,0.00952,25.65004,48.27024,0,0.0303,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0462,0.3756,214896,0,0,0
68,34,baseline,5000,0,0.55737704,81.8463,1.7423,0.0949,0.00968,29.3768,48.47124,0,0.0335,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0481,0.4325,214896,0,0,0
69,34,preskin,5000,0,0.55737704,57.8594,2.1436,0.7529,0.06132,16.7546,36.05232,0.6801,0.0321,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.2674,107448
70,35,preskin,5000,0,0.57377046,52.048,1.5549,0.4959,0.06032,14.9556,33.4104,0.4391,0.028,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1586,107448
71,35,baseline,5000,0,0.57377046,66.7216,1.4541,0.0606,0.00704,20.22888,43.395,0,0.019200000000000002,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0393,0.3778,214896,0,0,0
72,36,baseline,5000,0,0.59016395,69.6189,1.6138,0.0667,0.00744,20.17444,46.07856,0,0.0205,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0378,0.3649,214896,0,0,0
73,36,preskin,5000,0,0.59016395,52.3807,1.7028,0.4809,0.05976,15.72332,32.79164,0.4339,0.023399999999999997,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1581,107448
74,37,preskin,5000,0,0.60655737,51.5532,1.4616,0.4734,0.05992,15.29516,32.63716,0.4196,0.0247,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1547,107448
75,37,baseline,5000,0,0.60655737,72.0508,1.5582,0.0702,0.00808,20.76708,47.86404,0,0.0241,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0362,0.3611,214896,0,0,0
76,38,baseline,5000,0,0.6229508,70.2821,1.7273,0.0944,0.00976,21.5758,45.06792,0,0.0334,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0518,0.3887,214896,0,0,0
77,38,preskin,5000,0,0.6229508,53.6637,2.1565,0.5283,0.0602,15.79448,33.478,0.4729,0.0236,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1791,107448
78,39,preskin,5000,0,0.6393443,54.5394,1.9387,0.5189,0.0596,15.91752,34.37632,0.452,0.0354,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1633,107448
79,39,baseline,5000,0,0.6393443,76.434,2.0405,0.0806,0.00808,24.47736,47.99728,0,0.03,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0489,0.4562,214896,0,0,0
80,40,baseline,5000,0,0.6557377,72.6515,2.2063,0.1287,0.00968,20.57336,47.8676,0,0.0363,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0569,0.4673,214896,0,0,0
81,40,preskin,5000,0,0.6557377,53.6109,1.8353,0.6355,0.06156,15.44236,33.63644,0.5734,0.0334,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1894,107448
82,41,preskin,5000,0,0.6721311,55.1229,1.7646,0.5094,0.06008,17.14692,33.91604,0.4317,0.0501,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.157,107448
83,41,baseline,5000,0,0.6721311,75.487,1.7489,0.0801,0.00948,23.52328,48.19636,0,0.029599999999999998,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0566,0.3345,214896,0,0,0
84,42,baseline,5000,0,0.6885246,76.2248,1.7766,0.0982,0.00972,24.29484,47.8974,0,0.037000000000000005,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0506,0.3942,214896,0,0,0
85,42,preskin,5000,0,0.6885246,53.7098,1.6252,0.4711,0.05848,15.56568,33.78936,0.4177,0.0282,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1523,107448
86,43,preskin,5000,0,0.704918,51.5684,1.9511,0.531,0.0592,15.22624,32.09232,0.4719,0.0293,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1699,107448
87,43,baseline,5000,0,0.704918,67.7956,1.5267,0.0705,0.00716,20.26512,44.3968,0,0.0238,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0416,0.3498,214896,0,0,0
88,44,baseline,5000,0,0.72131145,69.106,1.5557,0.0604,0.00724,20.76332,44.98964,0,0.0182,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0446,0.3904,214896,0,0,0
89,44,preskin,5000,0,0.72131145,52.8461,1.6145,0.4642,0.05924,15.6292,33.44736,0.4158,0.0225,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1453,107448
90,45,preskin,5000,0,0.73770493,52.1941,1.4718,0.4698,0.05116,15.4972,33.13272,0.4194,0.0224,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1529,107448
91,45,baseline,5000,0,0.73770493,70.0027,1.4082,0.066,0.007,20.7462,46.17272,0,0.0234,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0383,0.3643,214896,0,0,0
92,46,baseline,5000,0,0.75409836,69.989,1.5145,0.0655,0.0072,20.48616,46.07032,0,0.0204,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.054,0.4404,214896,0,0,0
93,46,preskin,5000,0,0.75409836,52.3245,1.7585,0.5416,0.05932,15.291,32.84332,0.4825,0.0316,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1809,107448
94,47,preskin,5000,0,0.7704918,51.5678,1.6958,0.4316,0.0596,15.01288,32.67772,0.3822,0.0238,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1352,107448
95,47,baseline,5000,0,0.7704918,68.2473,1.398,0.0666,0.007,20.51992,44.51232,0,0.023200000000000002,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0462,0.3432,214896,0,0,0
96,48,baseline,5000,0,0.78688526,72.7007,2.0913,0.0814,0.00972,22.10336,46.72612,0,0.0282,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0469,0.4355,214896,0,0,0
97,48,preskin,5000,0,0.78688526,52.2909,2.0588,0.4152,0.05876,15.61568,32.62704,0.3643,0.024399999999999998,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1233,107448
98,49,preskin,5000,0,0.8032787,56.0115,1.4127,0.4298,0.04244,15.23404,37.11228,0.3811,0.0221,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1388,107448
